Linux 6.8.0-60-generic (luna) 	07/02/2025 	_x86_64_	(224 CPU)

05:49:46 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:49:47 PM   52    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:47 PM   53    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:47 PM   54    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:47 PM   55    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:47 PM   56    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:47 PM   57    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:47 PM   58    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:47 PM   59   92.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.00
05:49:47 PM   60    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:47 PM   61   92.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.00
05:49:47 PM   62    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:47 PM   63    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:47 PM   64    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:47 PM   65   92.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.00
05:49:47 PM   66    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:47 PM   67    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:47 PM   68   91.92    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.08
05:49:47 PM   69   91.09    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    7.92
05:49:47 PM   70    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:47 PM   71   91.92    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.08
05:49:47 PM   72    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:47 PM   73    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:47 PM   74    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:47 PM   75   91.09    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.91
05:49:47 PM   76    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:47 PM   77   92.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.00
05:49:47 PM   78   91.09    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.91
05:49:47 PM   79   91.92    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.08
05:49:47 PM   80   91.09    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    7.92
05:49:47 PM   81   92.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.00
05:49:47 PM   82    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:47 PM   83   91.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    9.00
05:49:47 PM   84   92.00    0.00    8.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:49:47 PM   85   91.92    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.08
05:49:47 PM   86   59.41    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   40.59
05:49:47 PM   87    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:47 PM   88    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:47 PM   89   91.92    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.08
05:49:47 PM   90    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:47 PM   91   90.10    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    8.91
05:49:47 PM   92    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:47 PM   93   92.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.00
05:49:47 PM   94    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:47 PM   95   92.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.00
05:49:47 PM   96    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:47 PM   97   92.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.00
05:49:47 PM   98    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:47 PM   99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:47 PM  100    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:47 PM  101    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:47 PM  102    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:47 PM  103   91.92    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.08
05:49:47 PM  104    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:47 PM  105    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:47 PM  106    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:47 PM  107    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
05:49:47 PM  108    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:47 PM  109   91.92    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.08
05:49:47 PM  110    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:47 PM  111    0.00    0.00    0.98    0.00    0.00    0.00    0.00    0.00    0.00   99.02
05:49:47 PM  112   65.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   35.00
05:49:47 PM  113   93.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    7.00
05:49:47 PM  114    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:47 PM  115   93.07    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    6.93
05:49:47 PM  116   91.92    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.08
05:49:47 PM  117    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:47 PM  118   92.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.00
05:49:47 PM  119   91.92    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.08
05:49:47 PM  120   91.92    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.08
05:49:47 PM  121   91.09    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.91
05:49:47 PM  122   92.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.00
05:49:47 PM  123   91.92    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.08
05:49:47 PM  124   91.09    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    7.92
05:49:47 PM  125   91.09    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.91
05:49:47 PM  126    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:47 PM  127   92.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.00
05:49:47 PM  128   91.92    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.08
05:49:47 PM  129    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:47 PM  130   91.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    9.00
05:49:47 PM  131    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
05:49:47 PM  132   91.09    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.91
05:49:47 PM  133    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:47 PM  134   91.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    9.00
05:49:47 PM  135    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:47 PM  136   92.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.00
05:49:47 PM  137   91.92    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.08
05:49:47 PM  138    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:47 PM  139   91.09    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.91
05:49:47 PM  140   92.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.00
05:49:47 PM  141    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:47 PM  142   91.92    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.08
05:49:47 PM  143    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:49:47 PM  144   92.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.00
05:49:47 PM  145   91.09    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    7.92
05:49:47 PM  146   91.09    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    7.92
