nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm4007970	Alhambra Girls	\N	\N	actress	tt0000061,tt0188250
nm0010291	Birt Acres	1854	1918	cinematographer,director,producer	tt0000024,tt0282161,tt0000025,tt0000020
nm0666972	Robert W. Paul	1869	1943	producer,cinematographer,director	tt0001141,tt0000170,tt0250634,tt1867552
nm0194945	Jehanne d'Alcy	1865	1956	actress,costume_designer	tt0000075,tt0222735,tt0000235,tt0131934
nm0617588	Georges Méliès	1861	1938	director,actor,producer	tt0002113,tt0223267,tt0000091,tt0215737
nm0617588	Georges Méliès	1861	1938	director,actor,producer	tt0002113,tt0223267,tt0000091,tt0215737
nm0617588	Georges Méliès	1861	1938	director,actor,producer	tt0002113,tt0223267,tt0000091,tt0215737
nm0029244	Victor André	\N	\N	actor	tt0000417
nm0076933	Bleuette Bernon	1878	1937	actress	tt0000465,tt0131934,tt0000230
nm1215996	Brunnet	\N	\N	actor	tt0000417
nm0894523	Jules Verne	1828	1905	writer	tt0046672,tt1397514,tt0373051,tt0048960
nm0920229	H.G. Wells	1866	1946	writer,actor	tt0046534,tt0268695,tt0054387,tt0407304
nm0242155	Jean-Benoît Dunckel	1969	\N	soundtrack,composer,actor	tt0815245,tt0147800,tt0159097,tt0335266
nm0324073	Nicolas Godin	1969	\N	soundtrack,composer,actor	tt0335266,tt0159097,tt0147800,tt0815245
nm4491570	Octavio Vázquez	\N	\N	composer	tt0000417,tt0327822,tt0215737,tt0326373
nm1375877	Juan Minujín	1975	\N	actor,director,writer	tt5820976,tt1741283,tt8404614,tt2381941
nm0593917	Miguel Mitlag	1969	\N	director,writer,cinematographer	tt0364473,tt0496232,tt0117069,tt1411865
nm0585955	Cobi Migliora	\N	\N	cinematographer,camera_department,editorial_department	tt1487903,tt4736898,tt1295086,tt1006823
nm11625684	Deryn Oliver	\N	\N		\N
nm11625683	Taylor Ronson	\N	\N	director,writer	tt12427530
nm11625689	Ryan Ardent	\N	\N	producer	tt13175020,tt12427530,tt14867064
nm11625686	Ken Thurlow	\N	\N	producer	tt12427576,tt12427530
nm1122677	Tony Kornheiser	1948	\N	writer,miscellaneous,producer	tt0411007,tt3076658,tt0307800,tt2737290
nm0721526	Émile Reynaud	1844	1918	director,animation_department,writer	tt2184231,tt0000003,tt13125956,tt2184201
nm1770680	Julien Pappé	1920	2005	cinematographer,animation_department,director	tt0094205,tt0000003,tt7331958,tt0432617
nm1335271	Gaston Paulin	\N	1921	composer	tt0000003,tt2184231,tt13125956,tt0000004
