nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0816458	Charles Spaak	1903	1975	writer,director,assistant_director	tt0201791,tt0028950,tt0038824,tt0045525
nm0233587	Robert Dorfmann	1912	1999	producer,miscellaneous	tt0054632,tt0060474,tt0070511,tt0065531
nm0499472	Raymond Legrand	1908	1974	composer,music_department,soundtrack	tt0160893,tt0071733,tt0042625,tt0139152
nm0099961	Jean Bourgoin	1913	1991	cinematographer,camera_department	tt0028950,tt0056197,tt0053395,tt0050706
nm0840582	Hiroshi Suzuki	1898	1964	cinematographer	tt0377951,tt0407929,tt0259382,tt0052331
nm0001536	Toshirô Mifune	1920	1997	actor,producer,director	tt0057565,tt0055630,tt0050613,tt0047478
nm0038315	Shinobu Asaji	1925	\N	actress	tt0042626,tt3692736,tt0204745,tt0045137
nm0652743	Tomoemon Otani	\N	\N	actor	tt0262938,tt0881272,tt0046293,tt0043697
nm0853392	Jun Tazaki	1913	1985	actor	tt0089881,tt0227492,tt0057565,tt0055850
nm0408348	Hiroshi Inagaki	1905	1980	director,writer,actor	tt0051208,tt0051955,tt0049803,tt0041383
nm0644823	Hideo Oguni	1904	1996	writer,director	tt0044741,tt0057565,tt0047478,tt0089881
nm0609404	Sôjirô Motoki	1914	1977	director,producer,writer	tt0044741,tt2328114,tt0050613,tt0047478
nm1070384	Hidehisa Suga	\N	\N	producer,production_manager	tt0042626,tt0055550,tt0203840,tt0056310
nm0297914	Shirô Fukai	\N	\N	composer	tt0032156,tt0043697,tt0033654,tt10075696
nm1417818	Fernando Sayún	\N	\N	actor	tt3986120,tt8655736,tt0279969,tt4872292
nm4021116	Diana Brugada	\N	\N	actress	tt2062575,tt1645013,tt2288995
nm4940472	Sara Camacho	\N	\N	actress	tt1192302,tt1831897,tt2288825,tt3363888
nm4644085	Yerish Valdés	\N	\N	actor	tt2288995,tt1645013
nm1889503	Ricardo Vargas Lozano	\N	\N	miscellaneous,director,producer	tt13989350,tt2288995,tt1645013,tt8663484
nm1962502	Antonio Loza	\N	\N	producer,director,assistant_director	tt2288995,tt0461072,tt1645013
nm2684620	Eduardo Marron	\N	\N	producer,writer,director	tt2288995,tt7639180,tt2356162,tt6715506
nm3872055	Pablo Mayo	\N	\N	writer,art_department	tt1645013,tt1636708,tt8638364,tt2288995
nm0333260	Dennis Grabosch	1978	\N	actor	tt0108829,tt0329106,tt0806910,tt0835962
nm0500529	Silvan-Pierre Leirich	1960	\N	actor	tt0806910,tt0490043,tt0835962,tt0103434
nm2219491	Jörg Rohde	1984	\N	actor	tt2487938,tt0940902,tt2785166,tt0835962
nm2542265	Andreas Fuhrmann	\N	\N	writer,actor	tt1281305,tt0207932,tt9731778,tt0178142
nm3796859	Anna-Katharina Samsel	1985	\N	actress	tt2107814,tt0077076,tt2194599,tt0835962
nm2687900	Katharina Woschek	1988	\N	actress	tt0835962,tt0103487,tt3602680
nm1101808	Adam Jennings	1978	\N	writer,director,art_department	tt0377332,tt0271747,tt0284312,tt0266777
nm7520000	Alex Lester	\N	\N		tt1795756,tt4920934
nm7064895	Lilley Mitchell	\N	\N	cinematographer,camera_department	tt4920934,tt4371520
nm7519957	Kat Orman	\N	\N		tt4920934
nm3717852	Danny Cox	\N	\N		tt1397480,tt4920934
nm9198684	Lizzie Crowe	\N	\N		tt4920934
nm1254452	Jaroslav Cejka	1936	\N	actor	tt0068635,tt0170428,tt0066135,tt0183348
nm5288382	Jana Klusáková	1941	\N	writer,actress	tt0307787,tt3672936,tt2409866
nm0361821	Vlastimil Harapes	1946	\N	actor,miscellaneous	tt0063278,tt0074393,tt0124888,tt0078054
nm0873608	Zdenek Troska	1953	\N	writer,director,assistant_director	tt0168176,tt0110893,tt0407918,tt0202703
nm2622637	Karel Koula	1973	\N	director,writer,producer	tt1967590,tt2858276,tt1003066,tt2409866
nm0443482	Charles Kayser	1878	1966	actor	tt0000005
nm0653042	John Ott	1850	1931	actor	tt0000005
nm0005690	William K.L. Dickson	1860	1935	cinematographer,director,producer	tt1496763,tt0308254,tt0219560,tt1428455
nm0249379	Thomas A. Edison	1847	1931	producer,director	tt0242312,tt0256969,tt0361066,tt0004457
