Linux 6.8.0-60-generic (luna) 	07/06/2025 	_x86_64_	(224 CPU)

10:16:57 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:16:58 AM   52    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:16:58 AM   53    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:16:58 AM   54   95.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    5.00
10:16:58 AM   55    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:16:58 AM   56   95.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    5.00
10:16:58 AM   57    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:16:58 AM   58    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:16:58 AM   59    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:16:58 AM   60   94.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    5.00
10:16:58 AM   61    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:16:58 AM   62   94.06    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    4.95
10:16:58 AM   63    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:16:58 AM   64   95.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    5.00
10:16:58 AM   65    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:16:58 AM   66   94.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    5.94
10:16:58 AM   67    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:16:58 AM   68   93.07    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    5.94
10:16:58 AM   69    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:16:58 AM   70    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:16:58 AM   71    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:16:58 AM   72    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:16:58 AM   73    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:16:58 AM   74   94.95    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    5.05
10:16:58 AM   75    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
10:16:58 AM   76   95.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    5.00
10:16:58 AM   77    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:16:58 AM   78   94.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    6.00
10:16:58 AM   79    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:16:58 AM   80    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:16:58 AM   81    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:16:58 AM   82    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:16:58 AM   83    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:16:58 AM   84   94.95    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    5.05
10:16:58 AM   85    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:16:58 AM   86   95.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    5.00
10:16:58 AM   87    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:16:58 AM   88    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:16:58 AM   89    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:16:58 AM   90   95.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    5.00
10:16:58 AM   91    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:16:58 AM   92   94.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    6.00
10:16:58 AM   93    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:16:58 AM   94   94.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    5.94
10:16:58 AM   95    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:16:58 AM   96   94.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    5.94
10:16:58 AM   97    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:16:58 AM   98    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:16:58 AM   99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:16:58 AM  100    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:16:58 AM  101   55.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   42.00
10:16:58 AM  102    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:16:58 AM  103   35.64    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   64.36
10:16:58 AM  104    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:16:58 AM  105    4.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
10:16:58 AM  106   94.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    6.00
10:16:58 AM  107    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:16:58 AM  108    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:16:58 AM  109    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:16:58 AM  110   94.95    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    5.05
10:16:58 AM  111    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:16:58 AM  112    6.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   93.94
10:16:58 AM  113   61.39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   38.61
10:16:58 AM  114    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:16:58 AM  115   92.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.00
10:16:58 AM  116   57.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   43.00
10:16:58 AM  117   95.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    5.00
