Linux 6.8.0-60-generic (luna) 	07/02/2025 	_x86_64_	(224 CPU)

11:24:40 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:24:41 AM   52   99.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
11:24:41 AM   53  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   54  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   55  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   56  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   57  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   58   99.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.99
11:24:41 AM   59  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   60  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   61  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   62  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   63   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   64   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   65  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   66  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   67  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   68   99.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
11:24:41 AM   69  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   70   99.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
11:24:41 AM   71  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   72  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   73  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   74  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   75  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   76  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   77  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   78  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   79  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   80   98.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.01
11:24:41 AM   81  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   82  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   83  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   84   99.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.99
11:24:41 AM   85  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   86   99.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
11:24:41 AM   87  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   88   98.02    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.99
11:24:41 AM   89   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   90   99.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
11:24:41 AM   91  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   92  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   93  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   94   99.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.99
11:24:41 AM   95  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   96  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   97  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM   98   99.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
11:24:41 AM   99  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  100   99.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
11:24:41 AM  101  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  102  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  103  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  104   98.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
11:24:41 AM  105  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  106   99.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
11:24:41 AM  107  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  108  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  109  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  110  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  111  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  112   98.02    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.99
11:24:41 AM  113  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  114  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  115  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  116  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  117   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  118  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  119  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  120   98.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00
11:24:41 AM  121  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  122   98.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
11:24:41 AM  123  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  124   99.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
11:24:41 AM  125  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  126   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  127   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  128  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  129  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  130   99.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
11:24:41 AM  131  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  132   99.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.99
11:24:41 AM  133   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  134   99.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
11:24:41 AM  135  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  136  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  137  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  138   98.02    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.99
11:24:41 AM  139  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  140   99.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
11:24:41 AM  141  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  142   99.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.99
11:24:41 AM  143  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  144   99.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.99
11:24:41 AM  145  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  146  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  147  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  148   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  149  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  150  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  151  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  152   97.96    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  153  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  154   99.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.99
11:24:41 AM  155  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  156  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  157  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  158   98.02    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.99
11:24:41 AM  159  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  160  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  161  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  162   98.04    0.00    0.98    0.00    0.00    0.00    0.00    0.00    0.00    0.98
11:24:41 AM  163  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  164  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  165  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  166  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  167  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  168   98.02    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.99
11:24:41 AM  169  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  170   99.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
11:24:41 AM  171  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  172   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  173  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  174   98.04    0.00    0.98    0.00    0.00    0.00    0.00    0.00    0.00    0.98
11:24:41 AM  175   98.02    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  176   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  177  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  178   99.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
11:24:41 AM  179  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  180   99.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
11:24:41 AM  181  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  182   99.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.99
11:24:41 AM  183  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  184   98.02    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.99
11:24:41 AM  185  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  186   98.02    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.99
11:24:41 AM  187  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  188  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  189  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  190   99.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
11:24:41 AM  191  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  192   99.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
11:24:41 AM  193  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  194  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  195  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  196   99.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.99
11:24:41 AM  197  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  198   98.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.01
11:24:41 AM  199  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  200   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  201  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  202   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  203  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  204  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  205  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  206   99.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
11:24:41 AM  207  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  208   99.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
11:24:41 AM  209  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  210   99.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
11:24:41 AM  211  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  212  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  213  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  214  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  215  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  216   98.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.01
11:24:41 AM  217  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  218   99.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
11:24:41 AM  219  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  220   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  221  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:24:41 AM  222   98.02    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.99
11:24:41 AM  223   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
