Linux 6.8.0-60-generic (luna) 	07/03/2025 	_x86_64_	(224 CPU)

11:08:01 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:08:02 AM   52   90.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   10.00
11:08:02 AM   53   90.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   10.00
11:08:02 AM   54   90.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    9.90
11:08:02 AM   55    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:08:02 AM   56    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:08:02 AM   57    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
11:08:02 AM   58   89.11    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    9.90
11:08:02 AM   59    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:08:02 AM   60    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
11:08:02 AM   61    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:08:02 AM   62   76.24    0.00   23.76    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:08:02 AM   63    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:08:02 AM   64    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:08:02 AM   65    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:08:02 AM   66    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:08:02 AM   67    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:08:02 AM   68    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
11:08:02 AM   69   94.95    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    5.05
11:08:02 AM   70    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:08:02 AM   71   94.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    6.00
11:08:02 AM   72    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:08:02 AM   73   94.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    6.00
11:08:02 AM   74    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:08:02 AM   75   94.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    6.00
11:08:02 AM   76   90.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   10.00
11:08:02 AM   77   94.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    5.94
11:08:02 AM   78    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:08:02 AM   79   94.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    5.94
11:08:02 AM   80   90.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   10.00
